D:\Ivan\Test_data\Katipunan\test/VID_20200614_161517_crop.mp4,646,0.9981
D:\Ivan\Test_data\Katipunan\test/VID_20200617_161508_crop.mp4,1281,0.9981
D:/Ivan/Test_data/Katipunan/test/VID_20200620_161507_crop.mp4,785,0.9981
D:\Ivan\Test_data\Katipunan\test/VID_20200705_161518_crop.mp4,802,0.9981
D:\Ivan\Test_data\Katipunan\test/VID_20200708_161553_crop.mp4,760,0.9981
D:\Ivan\Test_data\Katipunan\test/VID_20200711_161516_crop.mp4,754,0.9981
D:\Ivan\Test_data\Katipunan\test/VID_20200714_161511_crop.mp4,523,0.9981
D:\Ivan\Test_data\Katipunan\test/VID_20200717_161614_crop.mp4,565,0.9981
D:\Ivan\Test_data\Katipunan\test/VID_20200720_161556_crop.mp4,634,0.9981
D:\Ivan\Test_data\Katipunan\test/VID_20200723_161518_crop.mp4,702,0.9981
D:\Ivan\Test_data\Katipunan\test/VID_20200726_161509_crop.mp4,749,0.9981
D:\Ivan\Test_data\Katipunan\test/VID_20200729_161519_crop.mp4,629,0.9981
D:\Ivan\Test_data\Katipunan\test/VID_20200801_161505_crop.mp4,679,0.9981
D:\Ivan\Test_data\Katipunan\test/VID_20200509_161540_crop.mp4,341,0.9982
D:\Ivan\Test_data\Katipunan\test/VID_20200512_161525_crop.mp4,303,0.9982
D:\Ivan\Test_data\Katipunan\test/VID_20200515_161547_crop.mp4,230,0.9982
D:\Ivan\Test_data\Katipunan\test/VID_20200521_161542_crop.mp4,530,0.9982
D:\Ivan\Test_data\Katipunan\test/VID_20200530_161507_crop.mp4,596,0.9982
D:/Ivan/Test_data/Katipunan/test/VID_20200602_161933_crop.mp4,614,0.9982
D:/Ivan/Test_data/Katipunan/test/VID_20200605_161506_crop.mp4,527,0.9982
D:/Ivan/Test_data/Katipunan/test/VID_20200611_161534_crop.mp4,981,0.9982
D:\Ivan\Test_data\Katipunan\test/VID_20200614_161517_crop.mp4,641,0.9982
D:\Ivan\Test_data\Katipunan\test/VID_20200617_161508_crop.mp4,1266,0.9982
D:/Ivan/Test_data/Katipunan/test/VID_20200620_161507_crop.mp4,781,0.9982
D:\Ivan\Test_data\Katipunan\test/VID_20200705_161518_crop.mp4,804,0.9982
D:\Ivan\Test_data\Katipunan\test/VID_20200708_161553_crop.mp4,755,0.9982
D:\Ivan\Test_data\Katipunan\test/VID_20200711_161516_crop.mp4,748,0.9982
D:\Ivan\Test_data\Katipunan\test/VID_20200714_161511_crop.mp4,509,0.9982
D:\Ivan\Test_data\Katipunan\test/VID_20200717_161614_crop.mp4,557,0.9982
D:\Ivan\Test_data\Katipunan\test/VID_20200720_161556_crop.mp4,631,0.9982
